id,company,title,location,track,source_batch,fit,notes
XHS-001,Xiaohongshu,生态研发工程师实习生,武汉/北京,后端开发,targeted,strong,"后端+协作+稳定性+博客/GitHub都对口"
XHS-002,Xiaohongshu,Java后端开发实习生（AI Agent方向）,武汉,后端开发,targeted,strong,"Java基础稍弱于纯Java候选人，但Agent/MCP/Skills是加分项"
XM-ALG-001,Xiaomi,大模型算法实习生（Foundation Models/多模态）,武汉,算法类,earlier-batch,avoid,"要求预训练、MoE、长上下文、多模态与训练系统经验，明显不匹配"
XM-ALG-002,Xiaomi,大模型算法实习生（Text-to-SQL/Data Agent）,武汉,算法类,earlier-batch,stretch,"Data Agent方向能沾边，但算法训练和RLHF证据不足"
XM-ALG-003,Xiaomi,云端大模型算法实习生,武汉,算法类,earlier-batch,avoid,"自动驾驶/点云/3D/NeRF方向不匹配"
XM-001,Xiaomi,视觉生成算法工程师实习生,武汉,软件研发类,software-batch,avoid,"视觉生成与科研导向明显强于现有经历"
XM-002,Xiaomi,数据理解研发工程师实习生,武汉,软件研发类,software-batch,medium,"Python/Linux/数据清洗能对上，但Spark/Hadoop是短板"
XM-003,Xiaomi,数据算法实习生（自动驾驶/世界模型）,武汉,软件研发类,software-batch,avoid,"自动驾驶/世界模型/3D方向不匹配"
XM-004,Xiaomi,软件项目管理实习生,武汉,软件研发类,software-batch,medium,"文档/协作/推进能力能对上，但不是最优主线"
XM-005,Xiaomi,服务端研发实习生—武汉,武汉,软件研发类,software-batch,strong,"Java或Python+MySQL+Redis+并发/异步，与你最匹配"
XM-006,Xiaomi,大模型算法工程师-实习（语音理解）,武汉,软件研发类,software-batch,avoid,"PyTorch/Transformer/语音训练方向不匹配"
XM-007,Xiaomi,算法实习生—武汉（NLP）,武汉,软件研发类,software-batch,low,"NLP算法/微调/PyTorch要求偏强，当前更像应用工程而非算法"
XM-008,Xiaomi,后端研发工程师实习生（国际小米网 AI 翻译和校对）,武汉,软件研发类,software-batch,strong,"AI应用+后端开发非常对口"
XM-009,Xiaomi,后端研发工程师实习生（国际小米网 AI 翻译和校对）[duplicate],武汉,软件研发类,software-batch,strong,"源文本重复出现一次，内容相同"
XM-010,Xiaomi,效能工具研发工程师实习生,武汉,软件研发类,software-batch,medium,"工具平台/文档/DevOps认知有优势，前端不是最强项"
XM-011,Xiaomi,电商中台软件开发实习生,武汉,软件研发类,software-batch,medium,"Python自动化/数据处理能对上，但电商采集/RPA不是主线"
XM-012,Xiaomi,前端开发实习生,武汉,软件研发类,software-batch,medium,"前端能做，但不如后端/全栈叙事强"
XM-013,Xiaomi,自驾系统软件开发实习生,武汉,软件研发类,software-batch,avoid,"C/C++/QNX/安卓SDK/车载通信方向不匹配"
XM-014,Xiaomi,大模型算法实习生-武汉（NLP/小爱）,武汉,软件研发类,software-batch,low,"需要NLP理论、PyTorch、微调实践，当前证据不足"
XM-015,Xiaomi,大模型算法实习生（语音助手）,武汉,软件研发类,software-batch,low,"语音/NLP算法与训练框架要求偏研究/训练向"
XM-016,Xiaomi,自动驾驶-系统软件研发实习生,武汉,软件研发类,software-batch,avoid,"C/C++/内核/网络编程/自动驾驶量产方向不匹配"
XM-017,Xiaomi,RAG算法工程师实习生,武汉,软件研发类,software-batch,low,"有RAG邻近理解，但缺训练/评测/论文类硬证据"
XM-018,Xiaomi,软件研发工程师实习生（云平台基础服务）,武汉,软件研发类,software-batch,strong,"云平台/基础服务/性能和交付效率，对你很合适"
XM-019,Xiaomi,语言大模型算法实习生,武汉,软件研发类,software-batch,avoid,"RL/CPT/SFT/Deep Research训练路线要求明显不匹配"
XM-020,Xiaomi,大模型算法实习生（数据闭环/自动驾驶）,武汉,软件研发类,software-batch,avoid,"自动驾驶+大模型算法背景要求过强"
XM-021,Xiaomi,自动驾驶实习生,武汉,软件研发类,software-batch,avoid,"测试/自动驾驶基础方向不匹配"
XM-022,Xiaomi,仿真测试开发实习生,武汉,软件研发类,software-batch,avoid,"自动驾驶仿真测试场景不匹配"
XM-023,Xiaomi,测试开发实习—武汉,武汉,软件研发类,software-batch,medium,"Java+SQL+数据清洗+文档，能投但不是最优"
XM-024,Xiaomi,分布式系统工程师实习生,武汉,软件研发类,software-batch,medium,"开源与搜索生态有加分，但缺ElasticSearch直接经验"
